127.0.0.1 - - [16/Aug/2017:18:25:59 +0530] "GET / HTTP/1.1" 404 953
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:27:23 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 500 3837
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:30:41 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 500 3837
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:32:32 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:32:48 +0530] "GET /RestMessage/webapi/messages?year=2017 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:32:54 +0530] "GET /RestMessage/webapi/messages?year=2016 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:34:32 +0530] "GET /RestMessage/webapi/messages?year=2016 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:34:41 +0530] "GET /RestMessage/webapi/messages?year= HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:40:14 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:40:16 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:40:17 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:40:49 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:40:50 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:41:21 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:43:17 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 500 3265
0:0:0:0:0:0:0:1 - - [16/Aug/2017:18:43:54 +0530] "GET /RestMessage/webapi/messages HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:06:09 +0530] "GET /RestMessage/webapi/messages?start=2&pages=1 HTTP/1.1" 500 3197
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:10:12 +0530] "GET /RestMessage/webapi/messages?start=2&pages=1 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:10:26 +0530] "GET /RestMessage/webapi/messages?start=0&pages=0 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:10:38 +0530] "GET /RestMessage/webapi/messages?start=0&pages=1 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:10:44 +0530] "GET /RestMessage/webapi/messages?start=0&pages=2 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:11:02 +0530] "GET /RestMessage/webapi/messages?start=1&pages=2 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:11:06 +0530] "GET /RestMessage/webapi/messages?start=1&pages=2 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:11:14 +0530] "GET /RestMessage/webapi/messages?start=1&pages=1 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:14:07 +0530] "GET /RestMessage/webapi/messages?start=1&pages=2 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:15:06 +0530] "GET /RestMessage/webapi/messages?start=1&pages=2 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:16:06 +0530] "GET /RestMessage/webapi/messages?start=0&pages=1 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:33:14 +0530] "GET /RestMessage/webapi/messages/1?year=2017 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:33:50 +0530] "GET /RestMessage/webapi/messages/1?year=2017^ HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:34:47 +0530] "GET /RestMessage/webapi/messages/1?year=2017^ HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:35:02 +0530] "GET /RestMessage/webapi/messages/1?year=2017 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:35:23 +0530] "GET /RestMessage/webapi/messages/1?year=201^7 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:36:27 +0530] "GET /RestMessage/webapi/messages/1?year=201^7 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:37:43 +0530] "GET /RestMessage/webapi/messages/1?year=201^7 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:52:09 +0530] "GET /RestMessage/webapi/messages/1?year=ab^c HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:52:30 +0530] "GET /RestMessage/webapi/messages/1?year=ab%5Ec HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [16/Aug/2017:19:53:08 +0530] "GET /RestMessage/webapi/messages/1?year=ab%5Ec HTTP/1.1" 200 96
